"Gene","Non.unique.Gene.name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"csd--sufC--bnzC--glpK_2--group_23448","--------","putative cysteine desulfurase--Vegetative protein 296--Benzene 1,2-dioxygenase system ferredoxin subunit--Glycerol kinase--hypothetical protein",582,0,542,149,51.779359430605,100,Inf,8.17721606434776e-44,3.02556994380867e-39,7.26776349701819e-43,3,3,0,0.25,0.25,0.0099009900990099
"nadE_1","","NH(3)-dependent NAD(+) synthetase",582,0,542,149,51.779359430605,100,Inf,8.17721606434776e-44,3.02556994380867e-39,7.26776349701819e-43,3,3,0,0.25,0.25,0.0099009900990099
"auaH","","Aurachin B dehydrogenase",582,0,542,149,51.779359430605,100,Inf,8.17721606434776e-44,3.02556994380867e-39,7.26776349701819e-43,3,3,0,0.25,0.25,0.0099009900990099
"group_40636","","hypothetical protein",582,0,542,149,51.779359430605,100,Inf,8.17721606434776e-44,3.02556994380867e-39,7.26776349701819e-43,3,3,0,0.25,0.25,0.0099009900990099
"group_14337","","hypothetical protein",582,0,542,149,51.779359430605,100,Inf,8.17721606434776e-44,3.02556994380867e-39,7.26776349701819e-43,3,3,0,0.25,0.25,0.0099009900990099
"bcp_2","","Putative peroxiredoxin bcp",581,0,543,149,51.6903914590747,100,Inf,1.91065211170469e-43,7.06941281330734e-39,1.69570947788614e-42,3,3,0,0.25,0.25,0.0099009900990099
"menH_4","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",581,0,543,149,51.6903914590747,100,Inf,1.91065211170469e-43,7.06941281330734e-39,1.69570947788614e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_20429","","NADH dehydrogenase-like protein",581,0,543,149,51.6903914590747,100,Inf,1.91065211170469e-43,7.06941281330734e-39,1.69570947788614e-42,3,3,0,0.25,0.25,0.0099009900990099
"tas","","Protein tas",581,0,543,149,51.6903914590747,100,Inf,1.91065211170469e-43,7.06941281330734e-39,1.69570947788614e-42,3,3,0,0.25,0.25,0.0099009900990099
"arsC","","Arsenate reductase",580,0,544,149,51.6014234875445,100,Inf,1.96598404344089e-43,7.27414096073131e-39,1.74189199251229e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_2774","","hypothetical protein",580,0,544,149,51.6014234875445,100,Inf,1.96598404344089e-43,7.27414096073131e-39,1.74189199251229e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_32285","","hypothetical protein",580,0,544,149,51.6014234875445,100,Inf,1.96598404344089e-43,7.27414096073131e-39,1.74189199251229e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_40794","","hypothetical protein",580,0,544,149,51.6014234875445,100,Inf,1.96598404344089e-43,7.27414096073131e-39,1.74189199251229e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_54238","","hypothetical protein",580,0,544,149,51.6014234875445,100,Inf,1.96598404344089e-43,7.27414096073131e-39,1.74189199251229e-42,2,2,0,0.5,0.5,0.0099009900990099
"group_28189","","hypothetical protein",579,0,545,149,51.5124555160142,100,Inf,2.14634340397894e-43,7.94147059472206e-39,1.89715016596323e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_28891","","hypothetical protein",579,0,545,149,51.5124555160142,100,Inf,2.14634340397894e-43,7.94147059472206e-39,1.89715016596323e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_7068","","hypothetical protein",579,0,545,149,51.5124555160142,100,Inf,2.14634340397894e-43,7.94147059472206e-39,1.89715016596323e-42,2,2,0,0.5,0.5,0.0099009900990099
"group_18418","","hypothetical protein",578,0,546,149,51.423487544484,100,Inf,2.45969045277048e-43,9.10085467525076e-39,2.16893581393011e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_31728","","hypothetical protein",578,0,546,149,51.423487544484,100,Inf,2.45969045277048e-43,9.10085467525076e-39,2.16893581393011e-42,4,4,0,0.125,0.125,0.0099009900990099
"fdxA","","Ferredoxin-1",578,0,546,149,51.423487544484,100,Inf,2.45969045277048e-43,9.10085467525076e-39,2.16893581393011e-42,3,3,0,0.25,0.25,0.0198019801980198
"acoA","","Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha",578,0,546,149,51.423487544484,100,Inf,2.45969045277048e-43,9.10085467525076e-39,2.16893581393011e-42,3,3,0,0.25,0.25,0.0099009900990099
"yknY","","putative ABC transporter ATP-binding protein YknY",578,0,546,149,51.423487544484,100,Inf,2.45969045277048e-43,9.10085467525076e-39,2.16893581393011e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_54392","","hypothetical protein",578,0,546,149,51.423487544484,100,Inf,2.45969045277048e-43,9.10085467525076e-39,2.16893581393011e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_54430","COQ3_2","Ubiquinone biosynthesis O-methyltransferase, mitochondrial",578,0,546,149,51.423487544484,100,Inf,2.45969045277048e-43,9.10085467525076e-39,2.16893581393011e-42,3,3,0,0.25,0.25,0.0099009900990099
"aer","","Aerotaxis receptor",578,0,546,149,51.423487544484,100,Inf,2.45969045277048e-43,9.10085467525076e-39,2.16893581393011e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_17018","","hypothetical protein",578,0,546,149,51.423487544484,100,Inf,2.45969045277048e-43,9.10085467525076e-39,2.16893581393011e-42,3,3,0,0.25,0.25,0.0099009900990099
"hsaB","","Flavin-dependent monooxygenase, reductase subunit HsaB",577,0,547,149,51.3345195729537,100,Inf,2.92207855467493e-43,1.08116906522973e-38,2.57176276220201e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_36011","","hypothetical protein",577,0,547,149,51.3345195729537,100,Inf,2.92207855467493e-43,1.08116906522973e-38,2.57176276220201e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_36866","","hypothetical protein",577,0,547,149,51.3345195729537,100,Inf,2.92207855467493e-43,1.08116906522973e-38,2.57176276220201e-42,3,3,0,0.25,0.25,0.0099009900990099
"metF","","5,10-methylenetetrahydrofolate reductase",577,0,547,149,51.3345195729537,100,Inf,2.92207855467493e-43,1.08116906522973e-38,2.57176276220201e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_10309","","hypothetical protein",577,0,547,149,51.3345195729537,100,Inf,2.92207855467493e-43,1.08116906522973e-38,2.57176276220201e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_11392","","putative protein",577,0,547,149,51.3345195729537,100,Inf,2.92207855467493e-43,1.08116906522973e-38,2.57176276220201e-42,3,3,0,0.25,0.25,0.0099009900990099
"dnaJ_1","","Chaperone protein DnaJ",577,0,547,149,51.3345195729537,100,Inf,2.92207855467493e-43,1.08116906522973e-38,2.57176276220201e-42,3,3,0,0.25,0.25,0.0099009900990099
"mepM","","hypothetical protein",577,0,547,149,51.3345195729537,100,Inf,2.92207855467493e-43,1.08116906522973e-38,2.57176276220201e-42,4,4,0,0.125,0.125,0.0099009900990099
"smc","","Chromosome partition protein Smc",576,0,548,149,51.2455516014235,100,Inf,3.55841807647906e-43,1.31661468829725e-38,3.12660814129008e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_13853--ilvC","--","hypothetical protein--Ketol-acid reductoisomerase (NAD(+))",576,0,548,149,51.2455516014235,100,Inf,3.55841807647906e-43,1.31661468829725e-38,3.12660814129008e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_25368","","hypothetical protein",576,0,548,149,51.2455516014235,100,Inf,3.55841807647906e-43,1.31661468829725e-38,3.12660814129008e-42,3,3,0,0.25,0.25,0.0099009900990099
"purM","","Phosphoribosylformylglycinamidine cyclo-ligase",576,0,548,149,51.2455516014235,100,Inf,3.55841807647906e-43,1.31661468829725e-38,3.12660814129008e-42,3,3,0,0.25,0.25,0.0495049504950495
"dnaJ_2","","Chaperone protein DnaJ",576,0,548,149,51.2455516014235,100,Inf,3.55841807647906e-43,1.31661468829725e-38,3.12660814129008e-42,3,3,0,0.25,0.25,0.0099009900990099
"ylmA","","putative ABC transporter ATP-binding protein YlmA",576,0,548,149,51.2455516014235,100,Inf,3.55841807647906e-43,1.31661468829725e-38,3.12660814129008e-42,3,3,0,0.25,0.25,0.0099009900990099
"aspS","","Aspartate--tRNA ligase",575,0,549,149,51.1565836298932,100,Inf,4.40375661506958e-43,1.62938994757574e-38,3.86661117127609e-42,3,3,0,0.25,0.25,0.0099009900990099
"ygiD","","4,5-DOPA dioxygenase extradiol",575,0,549,149,51.1565836298932,100,Inf,4.40375661506958e-43,1.62938994757574e-38,3.86661117127609e-42,2,2,0,0.5,0.5,0.0099009900990099
"group_32495","","hypothetical protein",575,0,549,149,51.1565836298932,100,Inf,4.40375661506958e-43,1.62938994757574e-38,3.86661117127609e-42,2,2,0,0.5,0.5,0.0099009900990099
"adhT_2","","Alcohol dehydrogenase",574,0,550,149,51.067615658363,100,Inf,9.26155551466936e-43,3.42677554042766e-38,8.11263148775488e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_32269","","hypothetical protein",574,0,550,149,51.067615658363,100,Inf,9.26155551466936e-43,3.42677554042766e-38,8.11263148775488e-42,3,3,0,0.25,0.25,0.0198019801980198
"group_46595","","Putative transport protein",574,0,550,149,51.067615658363,100,Inf,9.26155551466936e-43,3.42677554042766e-38,8.11263148775488e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_6342","","hypothetical protein",574,0,550,149,51.067615658363,100,Inf,9.26155551466936e-43,3.42677554042766e-38,8.11263148775488e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_20562","","hypothetical protein",573,0,551,149,50.9786476868327,100,Inf,9.7905663769543e-43,3.62250955947309e-38,8.56790340461942e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_31770","","hypothetical protein",573,0,551,149,50.9786476868327,100,Inf,9.7905663769543e-43,3.62250955947309e-38,8.56790340461942e-42,3,3,0,0.25,0.25,0.0099009900990099
"ftsH_1","","ATP-dependent zinc metalloprotease FtsH",573,0,551,149,50.9786476868327,100,Inf,9.7905663769543e-43,3.62250955947309e-38,8.56790340461942e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_16998","","hypothetical protein",573,0,551,149,50.9786476868327,100,Inf,9.7905663769543e-43,3.62250955947309e-38,8.56790340461942e-42,3,3,0,0.25,0.25,0.0099009900990099
"rssB_3","","Regulator of RpoS",572,0,552,149,50.8896797153025,100,Inf,1.09262068351076e-42,4.04269652898979e-38,9.54366508260102e-42,3,3,0,0.25,0.25,0.0099009900990099
"sglT_2","","hypothetical protein",572,0,552,149,50.8896797153025,100,Inf,1.09262068351076e-42,4.04269652898979e-38,9.54366508260102e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_20572","","hypothetical protein",572,0,552,149,50.8896797153025,100,Inf,1.09262068351076e-42,4.04269652898979e-38,9.54366508260102e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_27708","","hypothetical protein",572,0,552,149,50.8896797153025,100,Inf,1.09262068351076e-42,4.04269652898979e-38,9.54366508260102e-42,4,4,0,0.125,0.125,0.0099009900990099
"ccp_1","","Cytochrome c551 peroxidase",572,0,552,149,50.8896797153025,100,Inf,1.09262068351076e-42,4.04269652898979e-38,9.54366508260102e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_36425","","hypothetical protein",572,0,552,149,50.8896797153025,100,Inf,1.09262068351076e-42,4.04269652898979e-38,9.54366508260102e-42,3,3,0,0.25,0.25,0.0099009900990099
"dnaE","","DNA polymerase III subunit alpha",572,0,552,149,50.8896797153025,100,Inf,1.09262068351076e-42,4.04269652898979e-38,9.54366508260102e-42,3,3,0,0.25,0.25,0.0099009900990099
"caiA_5","","Crotonobetainyl-CoA reductase",572,0,552,149,50.8896797153025,100,Inf,1.09262068351076e-42,4.04269652898979e-38,9.54366508260102e-42,3,3,0,0.25,0.25,0.0099009900990099
"group_1595","","hypothetical protein",571,0,553,149,50.8007117437722,100,Inf,1.27210434308036e-42,4.70678606939733e-38,1.10904478543764e-41,3,3,0,0.25,0.25,0.0099009900990099
"mcpU","","hypothetical protein",571,0,553,149,50.8007117437722,100,Inf,1.27210434308036e-42,4.70678606939733e-38,1.10904478543764e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_23313","","hypothetical protein",571,0,553,149,50.8007117437722,100,Inf,1.27210434308036e-42,4.70678606939733e-38,1.10904478543764e-41,3,3,0,0.25,0.25,0.0198019801980198
"group_25324","","hypothetical protein",571,0,553,149,50.8007117437722,100,Inf,1.27210434308036e-42,4.70678606939733e-38,1.10904478543764e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_25503","","hypothetical protein",571,0,553,149,50.8007117437722,100,Inf,1.27210434308036e-42,4.70678606939733e-38,1.10904478543764e-41,2,2,0,0.5,0.5,0.0099009900990099
"group_9343","","hypothetical protein",571,0,553,149,50.8007117437722,100,Inf,1.27210434308036e-42,4.70678606939733e-38,1.10904478543764e-41,4,4,0,0.125,0.125,0.0099009900990099
"group_12161","","hypothetical protein",571,0,553,149,50.8007117437722,100,Inf,1.27210434308036e-42,4.70678606939733e-38,1.10904478543764e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_15118","","hypothetical protein",570,0,554,149,50.711743772242,100,Inf,1.52667553777401e-42,5.64869948976385e-38,1.329418566666e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_18388","","hypothetical protein",570,0,554,149,50.711743772242,100,Inf,1.52667553777401e-42,5.64869948976385e-38,1.329418566666e-41,3,3,0,0.25,0.25,0.0099009900990099
"pdtaS_1","","hypothetical protein",570,0,554,149,50.711743772242,100,Inf,1.52667553777401e-42,5.64869948976385e-38,1.329418566666e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_28496","","hypothetical protein",570,0,554,149,50.711743772242,100,Inf,1.52667553777401e-42,5.64869948976385e-38,1.329418566666e-41,3,3,0,0.25,0.25,0.0099009900990099
"asd2","","Aspartate-semialdehyde dehydrogenase 2",570,0,554,149,50.711743772242,100,Inf,1.52667553777401e-42,5.64869948976385e-38,1.329418566666e-41,3,3,0,0.25,0.25,0.0099009900990099
"yfdE","","Acetyl-CoA:oxalate CoA-transferase",569,0,555,149,50.6227758007117,100,Inf,1.86985196052003e-42,6.9184522539241e-38,1.62672284362194e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_28780","","hypothetical protein",569,0,555,149,50.6227758007117,100,Inf,1.86985196052003e-42,6.9184522539241e-38,1.62672284362194e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_3013","","hypothetical protein",569,0,555,149,50.6227758007117,100,Inf,1.86985196052003e-42,6.9184522539241e-38,1.62672284362194e-41,4,4,0,0.125,0.125,0.0099009900990099
"group_68332","","hypothetical protein",569,0,555,149,50.6227758007117,100,Inf,1.86985196052003e-42,6.9184522539241e-38,1.62672284362194e-41,3,3,0,0.25,0.25,0.0099009900990099
"sufT","","Fe-S protein maturation auxiliary factor SufT",568,0,556,149,50.5338078291815,100,Inf,4.19568586335855e-42,1.55240376944266e-37,3.63390395468788e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_12199","","hypothetical protein",568,0,556,149,50.5338078291815,100,Inf,4.19568586335855e-42,1.55240376944266e-37,3.63390395468788e-41,3,3,0,0.25,0.25,0.0099009900990099
"lhgD","","L-2-hydroxyglutarate dehydrogenase",568,0,556,149,50.5338078291815,100,Inf,4.19568586335855e-42,1.55240376944266e-37,3.63390395468788e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_36429","","hypothetical protein",568,0,556,149,50.5338078291815,100,Inf,4.19568586335855e-42,1.55240376944266e-37,3.63390395468788e-41,3,3,0,0.25,0.25,0.0099009900990099
"ilvB_2","","Acetolactate synthase isozyme 1 large subunit",568,0,556,149,50.5338078291815,100,Inf,4.19568586335855e-42,1.55240376944266e-37,3.63390395468788e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_46639","","hypothetical protein",568,0,556,149,50.5338078291815,100,Inf,4.19568586335855e-42,1.55240376944266e-37,3.63390395468788e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_9117","","hypothetical protein",568,0,556,149,50.5338078291815,100,Inf,4.19568586335855e-42,1.55240376944266e-37,3.63390395468788e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_54487","","hypothetical protein",567,0,557,149,50.4448398576512,100,Inf,4.33371252345762e-42,1.60347363367932e-37,3.74730926309726e-41,3,3,0,0.25,0.25,0.0099009900990099
"cshA","","DEAD-box ATP-dependent RNA helicase CshA",567,0,557,149,50.4448398576512,100,Inf,4.33371252345762e-42,1.60347363367932e-37,3.74730926309726e-41,3,3,0,0.25,0.25,0.0099009900990099
"gmhA_2","","Phosphoheptose isomerase",567,0,557,149,50.4448398576512,100,Inf,4.33371252345762e-42,1.60347363367932e-37,3.74730926309726e-41,3,3,0,0.25,0.25,0.0099009900990099
"fliF","","Flagellar M-ring protein",567,0,557,149,50.4448398576512,100,Inf,4.33371252345762e-42,1.60347363367932e-37,3.74730926309726e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_13114","","hypothetical protein",567,0,557,149,50.4448398576512,100,Inf,4.33371252345762e-42,1.60347363367932e-37,3.74730926309726e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_14246","","hypothetical protein",567,0,557,149,50.4448398576512,100,Inf,4.33371252345762e-42,1.60347363367932e-37,3.74730926309726e-41,3,3,0,0.25,0.25,0.0198019801980198
"group_22598","","hypothetical protein",567,0,557,149,50.4448398576512,100,Inf,4.33371252345762e-42,1.60347363367932e-37,3.74730926309726e-41,3,3,0,0.25,0.25,0.0099009900990099
"swrD","","Swarming motility protein SwrD",566,0,558,149,50.355871886121,100,Inf,4.73977778311079e-42,1.75371777975099e-37,4.08982691173272e-41,2,2,0,0.5,0.5,0.0099009900990099
"galE1","","UDP-glucose 4-epimerase",566,0,558,149,50.355871886121,100,Inf,4.73977778311079e-42,1.75371777975099e-37,4.08982691173272e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_23279","","hypothetical protein",566,0,558,149,50.355871886121,100,Inf,4.73977778311079e-42,1.75371777975099e-37,4.08982691173272e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_35870","","hypothetical protein",566,0,558,149,50.355871886121,100,Inf,4.73977778311079e-42,1.75371777975099e-37,4.08982691173272e-41,3,3,0,0.25,0.25,0.0099009900990099
"sufU","","Zinc-dependent sulfurtransferase SufU",566,0,558,149,50.355871886121,100,Inf,4.73977778311079e-42,1.75371777975099e-37,4.08982691173272e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_4956","","hypothetical protein",566,0,558,149,50.355871886121,100,Inf,4.73977778311079e-42,1.75371777975099e-37,4.08982691173272e-41,3,3,0,0.25,0.25,0.0099009900990099
"lnrK","","Transcriptional regulatory protein LnrK",566,0,558,149,50.355871886121,100,Inf,4.73977778311079e-42,1.75371777975099e-37,4.08982691173272e-41,3,3,0,0.25,0.25,0.0099009900990099
"sir2","","NAD-dependent protein deacylase Sir2",565,0,559,149,50.2669039145907,100,Inf,5.43029479064014e-42,2.00920907253685e-37,4.6780187951964e-41,3,3,0,0.25,0.25,0.0099009900990099
"yehL","","putative protein YehL",565,0,559,149,50.2669039145907,100,Inf,5.43029479064014e-42,2.00920907253685e-37,4.6780187951964e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_26127","","hypothetical protein",565,0,559,149,50.2669039145907,100,Inf,5.43029479064014e-42,2.00920907253685e-37,4.6780187951964e-41,3,3,0,0.25,0.25,0.0099009900990099
"mtnA","","Methylthioribose-1-phosphate isomerase",565,0,559,149,50.2669039145907,100,Inf,5.43029479064014e-42,2.00920907253685e-37,4.6780187951964e-41,3,3,0,0.25,0.25,0.0099009900990099
"alr1","","Alanine racemase 1",565,0,559,149,50.2669039145907,100,Inf,5.43029479064014e-42,2.00920907253685e-37,4.6780187951964e-41,3,3,0,0.25,0.25,0.0198019801980198
"group_32191","","hypothetical protein",565,0,559,149,50.2669039145907,100,Inf,5.43029479064014e-42,2.00920907253685e-37,4.6780187951964e-41,3,3,0,0.25,0.25,0.0099009900990099
"lpxB","","Lipid-A-disaccharide synthase",564,0,560,149,50.1779359430605,100,Inf,6.43851018817434e-42,2.3822487696245e-37,5.54011341773141e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_28354","","hypothetical protein",564,0,560,149,50.1779359430605,100,Inf,6.43851018817434e-42,2.3822487696245e-37,5.54011341773141e-41,3,3,0,0.25,0.25,0.0099009900990099
"mshA_3","","D-inositol-3-phosphate glycosyltransferase",564,0,560,149,50.1779359430605,100,Inf,6.43851018817434e-42,2.3822487696245e-37,5.54011341773141e-41,2,2,0,0.5,0.5,0.0099009900990099
"group_31808","","hypothetical protein",564,0,560,149,50.1779359430605,100,Inf,6.43851018817434e-42,2.3822487696245e-37,5.54011341773141e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_40996","","hypothetical protein",564,0,560,149,50.1779359430605,100,Inf,6.43851018817434e-42,2.3822487696245e-37,5.54011341773141e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_14348","","hypothetical protein",563,0,561,149,50.0889679715303,100,Inf,7.81595880293848e-42,2.89190475708724e-37,6.71598875310552e-41,2,2,0,0.5,0.5,0.0099009900990099
"group_1556","sasA_7","Adaptive-response sensory-kinase SasA",563,0,561,149,50.0889679715303,100,Inf,7.81595880293848e-42,2.89190475708724e-37,6.71598875310552e-41,3,3,0,0.25,0.25,0.0099009900990099
"yihQ","","Sulfoquinovosidase",563,0,561,149,50.0889679715303,100,Inf,7.81595880293848e-42,2.89190475708724e-37,6.71598875310552e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_36100","","hypothetical protein",563,0,561,149,50.0889679715303,100,Inf,7.81595880293848e-42,2.89190475708724e-37,6.71598875310552e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_46396","","hypothetical protein",563,0,561,149,50.0889679715303,100,Inf,7.81595880293848e-42,2.89190475708724e-37,6.71598875310552e-41,3,3,0,0.25,0.25,0.0099009900990099
"group_10341","","hypothetical protein",563,0,561,149,50.0889679715303,100,Inf,7.81595880293848e-42,2.89190475708724e-37,6.71598875310552e-41,4,4,0,0.125,0.125,0.0099009900990099
"cugP","","UTP--glucose-1-phosphate uridylyltransferase",562,0,562,149,50,100,Inf,1.8172779247254e-41,6.72392832148396e-37,1.55215335214311e-40,3,3,0,0.25,0.25,0.0099009900990099
"dut","","Deoxyuridine 5'-triphosphate nucleotidohydrolase",562,0,562,149,50,100,Inf,1.8172779247254e-41,6.72392832148396e-37,1.55215335214311e-40,3,3,0,0.25,0.25,0.0099009900990099
"hisE--acpP","--","Phosphoribosyl-ATP pyrophosphatase--Acyl carrier protein",562,0,562,149,50,100,Inf,1.8172779247254e-41,6.72392832148396e-37,1.55215335214311e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_20305","","hypothetical protein",561,0,563,149,49.9110320284697,100,Inf,1.85099288246169e-41,6.84867366510825e-37,1.57985551674931e-40,2,2,0,0.5,0.5,0.0099009900990099
"group_20545","","hypothetical protein",561,0,563,149,49.9110320284697,100,Inf,1.85099288246169e-41,6.84867366510825e-37,1.57985551674931e-40,3,3,0,0.25,0.25,0.0099009900990099
"apt","","Adenine phosphoribosyltransferase",561,0,563,149,49.9110320284697,100,Inf,1.85099288246169e-41,6.84867366510825e-37,1.57985551674931e-40,2,2,0,0.5,0.5,0.0099009900990099
"group_17052","","hypothetical protein",560,0,564,149,49.8220640569395,100,Inf,1.99864426148887e-41,7.39498376750882e-37,1.7039133104859e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_21089","","hypothetical protein",560,0,564,149,49.8220640569395,100,Inf,1.99864426148887e-41,7.39498376750882e-37,1.7039133104859e-40,3,3,0,0.25,0.25,0.0099009900990099
"aspC","","Aspartate aminotransferase",560,0,564,149,49.8220640569395,100,Inf,1.99864426148887e-41,7.39498376750882e-37,1.7039133104859e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_41072","","hypothetical protein",560,0,564,149,49.8220640569395,100,Inf,1.99864426148887e-41,7.39498376750882e-37,1.7039133104859e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_9277","","hypothetical protein",560,0,564,149,49.8220640569395,100,Inf,1.99864426148887e-41,7.39498376750882e-37,1.7039133104859e-40,3,3,0,0.25,0.25,0.0099009900990099
"adh","","Alcohol dehydrogenase",559,0,565,149,49.7330960854093,100,Inf,2.26533903076874e-41,8.38175441384432e-37,1.9295014764835e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_40738","","hypothetical protein",559,0,565,149,49.7330960854093,100,Inf,2.26533903076874e-41,8.38175441384432e-37,1.9295014764835e-40,2,2,0,0.5,0.5,0.0495049504950495
"thiM","","Hydroxyethylthiazole kinase",559,0,565,149,49.7330960854093,100,Inf,2.26533903076874e-41,8.38175441384432e-37,1.9295014764835e-40,3,3,0,0.25,0.25,0.0099009900990099
"ilvD","","Dihydroxy-acid dehydratase",559,0,565,149,49.7330960854093,100,Inf,2.26533903076874e-41,8.38175441384432e-37,1.9295014764835e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_20773","","hypothetical protein",558,0,566,149,49.644128113879,100,Inf,2.66319361134151e-41,9.85381636196358e-37,2.26680845685843e-40,3,3,0,0.25,0.25,0.0099009900990099
"gpx1","","Hydroperoxy fatty acid reductase gpx1",558,0,566,149,49.644128113879,100,Inf,2.66319361134151e-41,9.85381636196358e-37,2.26680845685843e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_17200","","hypothetical protein",557,0,567,149,49.5551601423488,100,Inf,3.21181453206521e-41,1.18837137686413e-36,2.72063044153876e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_22640","","hypothetical protein",556,0,568,149,49.4661921708185,100,Inf,7.51790872237866e-41,2.7816262272801e-36,6.35654987952492e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_22982","","hypothetical protein",556,0,568,149,49.4661921708185,100,Inf,7.51790872237866e-41,2.7816262272801e-36,6.35654987952492e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_31754","","hypothetical protein",556,0,568,149,49.4661921708185,100,Inf,7.51790872237866e-41,2.7816262272801e-36,6.35654987952492e-40,3,3,0,0.25,0.25,0.0198019801980198
"group_41060","","hypothetical protein",556,0,568,149,49.4661921708185,100,Inf,7.51790872237866e-41,2.7816262272801e-36,6.35654987952492e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_9737","","putative protein",556,0,568,149,49.4661921708185,100,Inf,7.51790872237866e-41,2.7816262272801e-36,6.35654987952492e-40,3,3,0,0.25,0.25,0.0099009900990099
"csrA","","Translational regulator CsrA",556,0,568,149,49.4661921708185,100,Inf,7.51790872237866e-41,2.7816262272801e-36,6.35654987952492e-40,3,3,0,0.25,0.25,0.0099009900990099
"group_13835","","hypothetical protein",556,0,568,149,49.4661921708185,100,Inf,7.51790872237866e-41,2.7816262272801e-36,6.35654987952492e-40,3,3,0,0.25,0.25,0.0099009900990099
"tolQ_3","","Tol-Pal system protein TolQ",556,0,568,149,49.4661921708185,100,Inf,7.51790872237866e-41,2.7816262272801e-36,6.35654987952492e-40,3,3,0,0.25,0.25,0.0396039603960396
"group_13156","","hypothetical protein",555,0,569,149,49.3772241992883,100,Inf,7.61543657913738e-41,2.81771153428083e-36,6.42872811836831e-40,3,3,0,0.25,0.25,0.0099009900990099
"cyaA","","hypothetical protein",555,0,569,149,49.3772241992883,100,Inf,7.61543657913738e-41,2.81771153428083e-36,6.42872811836831e-40,2,2,0,0.5,0.5,0.0099009900990099
"group_14041","","hypothetical protein",555,0,569,149,49.3772241992883,100,Inf,7.61543657913738e-41,2.81771153428083e-36,6.42872811836831e-40,3,3,0,0.25,0.25,0.0099009900990099
